subject,transition_threat,correct_rejections,false_alarms,hits,misses
sub1,contains_threat,97,15,16,8
sub1,no_threat,46,2,12,4
sub10,contains_threat,112,3,22,1
sub10,no_threat,45,0,15,2
sub100,contains_threat,100,4,18,4
sub100,no_threat,55,2,12,5
sub101,contains_threat,115,3,15,2
sub101,no_threat,43,0,21,1
sub102,contains_threat,111,1,23,0
sub102,no_threat,49,0,15,1
sub103,contains_threat,98,7,26,0
sub103,no_threat,54,1,13,1
sub104,contains_threat,101,3,16,9
sub104,no_threat,54,3,5,9
sub105,contains_threat,110,1,21,11
sub105,no_threat,46,3,7,1
sub11,contains_threat,105,5,19,6
sub11,no_threat,50,1,12,2
sub12,contains_threat,109,1,27,1
sub12,no_threat,49,1,12,0
sub13,contains_threat,105,0,22,2
sub13,no_threat,49,6,14,2
sub14,contains_threat,96,15,19,9
sub14,no_threat,44,5,8,4
sub15,contains_threat,112,1,26,0
sub15,no_threat,48,0,12,1
sub16,contains_threat,126,0,22,1
sub16,no_threat,34,0,17,0
sub17,contains_threat,111,6,21,2
sub17,no_threat,42,2,16,0
sub18,contains_threat,96,15,24,4
sub18,no_threat,35,14,11,1
sub19,contains_threat,100,1,21,3
sub19,no_threat,55,4,15,1
sub2,contains_threat,105,1,18,4
sub2,no_threat,51,4,13,4
sub20,contains_threat,105,3,27,2
sub20,no_threat,48,5,10,0
sub21,contains_threat,98,5,18,7
sub21,no_threat,53,4,14,1
sub22,contains_threat,89,14,22,4
sub22,no_threat,51,6,12,2
sub23,contains_threat,103,3,25,3
sub23,no_threat,45,9,12,0
sub24,contains_threat,104,3,26,1
sub24,no_threat,49,4,12,1
sub25,contains_threat,105,7,14,7
sub25,no_threat,47,1,16,3
sub26,contains_threat,108,1,22,2
sub26,no_threat,50,1,16,0
sub27,contains_threat,90,17,5,20
sub27,no_threat,46,7,6,9
sub28,contains_threat,115,5,26,4
sub28,no_threat,38,2,8,2
sub29,contains_threat,101,0,25,1
sub29,no_threat,59,0,13,1
sub3,contains_threat,15,97,25,1
sub3,no_threat,7,41,13,1
sub30,contains_threat,109,2,24,3
sub30,no_threat,45,5,10,2
sub31,contains_threat,103,4,20,1
sub31,no_threat,54,0,18,0
sub32,contains_threat,105,6,22,6
sub32,no_threat,48,2,10,1
sub33,contains_threat,113,2,29,1
sub33,no_threat,45,0,10,0
sub34,contains_threat,95,5,22,2
sub34,no_threat,51,10,15,0
sub35,contains_threat,115,3,20,9
sub35,no_threat,37,5,8,3
sub36,contains_threat,98,14,23,2
sub36,no_threat,44,4,13,2
sub37,contains_threat,109,1,23,1
sub37,no_threat,50,1,15,0
sub38,contains_threat,108,1,27,2
sub38,no_threat,49,2,11,0
sub39,contains_threat,90,19,25,8
sub39,no_threat,42,9,5,2
sub4,contains_threat,100,3,21,3
sub4,no_threat,57,0,14,2
sub40,contains_threat,98,1,25,1
sub40,no_threat,60,2,12,1
sub41,contains_threat,107,0,25,0
sub41,no_threat,52,2,13,1
sub42,contains_threat,101,2,24,1
sub42,no_threat,58,0,14,0
sub43,contains_threat,121,3,16,4
sub43,no_threat,36,1,17,2
sub44,contains_threat,96,3,24,5
sub44,no_threat,56,6,8,2
sub45,contains_threat,100,4,22,2
sub45,no_threat,55,1,16,0
sub46,contains_threat,109,4,23,1
sub46,no_threat,46,2,13,2
sub47,contains_threat,112,3,23,2
sub47,no_threat,45,0,13,2
sub48,contains_threat,116,1,17,0
sub48,no_threat,43,0,21,2
sub49,contains_threat,121,1,28,1
sub49,no_threat,38,0,11,0
sub5,contains_threat,118,5,27,1
sub5,no_threat,34,4,10,1
sub50,contains_threat,107,11,22,4
sub50,no_threat,42,1,11,2
sub51,contains_threat,108,0,32,0
sub51,no_threat,52,1,7,0
sub52,contains_threat,110,3,28,1
sub52,no_threat,43,4,11,0
sub53,contains_threat,107,0,21,1
sub53,no_threat,52,1,18,0
sub54,contains_threat,100,9,22,3
sub54,no_threat,50,1,13,2
sub55,contains_threat,105,0,27,0
sub55,no_threat,54,1,12,1
sub56,contains_threat,111,10,18,9
sub56,no_threat,33,6,7,6
sub57,contains_threat,115,10,23,2
sub57,no_threat,34,1,11,4
sub58,contains_threat,114,2,25,4
sub58,no_threat,44,0,10,1
sub59,contains_threat,110,0,23,3
sub59,no_threat,50,0,14,0
sub6,contains_threat,114,7,24,2
sub6,no_threat,39,1,12,1
sub60,contains_threat,116,2,22,4
sub60,no_threat,42,0,12,2
sub61,contains_threat,88,4,24,1
sub61,no_threat,66,2,12,3
sub62,contains_threat,116,4,25,1
sub62,no_threat,40,0,8,6
sub63,contains_threat,107,5,21,3
sub63,no_threat,48,0,15,1
sub64,contains_threat,108,4,24,2
sub64,no_threat,46,2,11,3
sub65,contains_threat,102,0,24,0
sub65,no_threat,55,3,12,4
sub66,contains_threat,99,4,20,1
sub66,no_threat,56,1,18,1
sub67,contains_threat,95,2,28,3
sub67,no_threat,57,6,9,0
sub68,contains_threat,119,1,26,1
sub68,no_threat,39,1,13,0
sub69,contains_threat,92,6,23,2
sub69,no_threat,59,3,14,1
sub7,contains_threat,109,12,21,4
sub7,no_threat,39,0,14,1
sub70,contains_threat,99,7,8,15
sub70,no_threat,50,4,8,9
sub71,contains_threat,112,4,25,3
sub71,no_threat,43,1,12,0
sub72,contains_threat,107,0,25,1
sub72,no_threat,50,3,14,0
sub73,contains_threat,106,2,21,5
sub73,no_threat,49,3,14,0
sub74,contains_threat,107,7,21,2
sub74,no_threat,46,0,16,1
sub75,contains_threat,110,8,24,2
sub75,no_threat,37,5,14,0
sub76,contains_threat,114,0,25,0
sub76,no_threat,46,0,15,0
sub77,contains_threat,106,1,20,2
sub77,no_threat,52,1,17,1
sub78,contains_threat,106,0,26,0
sub78,no_threat,52,2,12,2
sub79,contains_threat,104,0,23,1
sub79,no_threat,53,4,14,1
sub8,contains_threat,118,7,22,8
sub8,no_threat,31,4,6,4
sub80,contains_threat,111,0,25,2
sub80,no_threat,48,1,12,1
sub81,contains_threat,107,2,25,0
sub81,no_threat,50,1,15,0
sub82,contains_threat,113,3,19,3
sub82,no_threat,44,0,17,1
sub83,contains_threat,109,2,22,4
sub83,no_threat,47,2,9,5
sub84,contains_threat,108,0,27,0
sub84,no_threat,52,1,12,0
sub85,contains_threat,107,2,27,5
sub85,no_threat,45,6,4,4
sub86,contains_threat,111,0,18,1
sub86,no_threat,48,2,20,0
sub87,contains_threat,126,0,28,0
sub87,no_threat,34,0,12,0
sub88,contains_threat,90,8,17,8
sub88,no_threat,58,4,6,9
sub89,contains_threat,113,1,27,1
sub89,no_threat,46,0,11,1
sub9,contains_threat,106,9,24,1
sub9,no_threat,45,0,14,1
sub90,contains_threat,118,7,17,11
sub90,no_threat,33,2,4,8
sub91,contains_threat,120,3,11,15
sub91,no_threat,32,5,8,6
sub92,contains_threat,113,0,26,0
sub92,no_threat,48,0,13,0
sub93,contains_threat,107,0,26,4
sub93,no_threat,52,1,10,0
sub94,contains_threat,116,1,30,1
sub94,no_threat,43,1,7,1
sub95,contains_threat,106,3,19,1
sub95,no_threat,51,0,19,1
sub96,contains_threat,108,1,28,2
sub96,no_threat,48,3,10,0
sub97,contains_threat,109,5,20,2
sub97,no_threat,44,2,13,5
sub98,contains_threat,119,2,27,4
sub98,no_threat,40,0,6,2
sub99,contains_threat,117,4,19,1
sub99,no_threat,38,1,20,0
